access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,maximum_vehicle_class,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,federal_agency,distance,distance_km,federal_agency,ev_network_ids
private,Drivers must bring their own J1772 cordset for Level 1 charging,GOVERNMENT,,2021-02-22,,ELEC,Private - Government only,184692,2021-01-15,FG,E,,,EPA San Francisco,,2022-02-10T21:00:18Z,FED_GOV,GPS,37.785487,-122.398057,San Francisco,,,CA,75 Hawthorne St,94105,US,,,,,,,,,,,,['NEMA515'],,2,,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé - Réservé au gouvernement,,"{'id': 20, 'code': 'EPA', 'name': 'U.S. Environmental Protection Agency'}",0.28873,0.46467,"{'id': 20, 'code': 'EPA', 'name': 'U.S. Environmental Protection Agency'}",
public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,,2023-07-29,2022-09-09,ELEC,TEMPORARILY UNAVAILABLE (Public),176279,2021-01-27,,T,,,CCSF SFMTA MOSCONE CTR 2,888-758-4389,2023-07-29T23:57:48Z,,GPS,37.784332,-122.399536,San Francisco,,,CA,255 3rd St,94103,US,,,,,,,,,,,,"['J1772', 'NEMA515']",,1,1,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,0.30907,0.4974,,"{'station': ['USCPIL6831'], 'posts': ['64653', '64655']}"
public,24 hours daily,,,2023-07-30,2023-07-13,ELEC,TEMPORARILY UNAVAILABLE (Public),206150,2022-02-11,,T,,,UDR UDR 10,888-758-4389,2023-07-30T00:44:06Z,,GPS,37.787703,-122.391971,San Francisco,,,CA,388 Beale St,94105,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,0.38462,0.61899,,"{'station': ['USCPIL12251861'], 'posts': ['23192531', '23192541']}"
public,24 hours daily,,,2023-07-30,2023-07-16,ELEC,TEMPORARILY UNAVAILABLE (Public),298695,2023-06-29,,T,,,560 MISSION DCFC2,888-758-4389,2023-07-30T00:48:57Z,,GPS,37.788864,-122.399485,San Francisco,,,CA,560 Mission St,94105,US,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,0.52147,0.83922,,"{'station': ['USCPIL12949701'], 'posts': ['22241231']}"
public,24 hours daily,,,2023-07-30,2023-06-30,ELEC,TEMPORARILY UNAVAILABLE (Public),298694,2023-06-29,,T,,,560 MISSION DCFC1,888-758-4389,2023-07-30T00:48:56Z,,GPS,37.788889,-122.399528,San Francisco,,,CA,560 Mission St,94105,US,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,0.52418,0.84359,,"{'station': ['USCPIL12947401'], 'posts': ['22238671']}"
public,24 hours daily,,,2023-07-30,2022-09-17,ELEC,TEMPORARILY UNAVAILABLE (Public),175659,2021-01-27,,T,,,RINCON CENTER RINCON 2,888-758-4389,2023-07-30T00:29:43Z,,GPS,37.791862,-122.392876,San Francisco,,,CA,121 Spear St,94105,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,0.65309,1.05105,,"{'station': ['USCPIL4348561'], 'posts': ['6945161', '6945171']}"
public,24 hours daily; pay lot,,,2021-10-12,2022-01-01,ELEC,TEMPORARILY UNAVAILABLE (Public),38517,2011-02-01,P,T,False,LD,Parc 55 Hotel,415-392-8000,2023-06-16T17:39:11Z,HOTEL,200-9,37.784871,-122.408991,San Francisco,,,CA,55 Cyril Magnin,94102,US,,,,,,,,,,,,['J1772'],,,1,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,0.81565,1.31266,,
public,24 hours daily,,,2023-07-30,2023-02-22,ELEC,TEMPORARILY UNAVAILABLE (Public),160604,2020-06-12,,T,,,CCSF-SFMTA ST MARYS SQ 4,888-758-4389,2023-07-30T00:03:07Z,,GPS,37.792015,-122.40499,San Francisco,,,CA,633 California St,94108,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,0.87711,1.41157,,"{'station': ['USCPIL123533'], 'posts': ['160445', '160447']}"
public,24 hours daily,,,2023-07-29,2023-04-17,ELEC,TEMPORARILY UNAVAILABLE (Public),179412,2021-01-27,,T,,,UCSF CAMPUS MBHOSPITAL EV3,888-758-4389,2023-07-29T23:59:11Z,,GPS,37.76812,-122.394273,San Francisco,,,CA,1835 Owens St,94158,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,0.98971,1.59278,,"{'station': ['USCPIL99951'], 'posts': ['116233', '116235']}"
public,24 hours daily,CREDIT_CARD_ALWAYS,A D Debit M V,2023-01-10,,ELEC,Public - Credit card at all times,150773,2018-01-01,SG,E,False,LD,UCSF - 1630 3rd Garage,650-469-3392,2023-02-14T15:54:11Z,PARKING_GARAGE,GPS,37.768,-122.39,San Francisco,,,CA,1630 3rd St,94158,US,,,,,,,,,,,,['J1772'],,,19,POWERFLEX,https://www.powerflex.com,,$0.30 per kWh,,,,,,,,,,,,,,,,,,,,,,Public - Carte de crédit en tout temps,,,1.02661,1.65217,,
public,24 hours daily,,,2023-07-29,2022-09-09,ELEC,TEMPORARILY UNAVAILABLE (Public),161269,2020-06-12,,T,,,CCSF SFMTA PORTSMOUTH SQ 1,888-758-4389,2023-07-29T23:57:50Z,,GPS,37.794819,-122.405075,San Francisco,,,CA,733 Kearny St,94108,US,,,,,,,,,,,,['J1772'],,,1,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,1.03283,1.66218,,"{'station': ['USCPIL22533'], 'posts': ['133569']}"
public,24 hours daily,,,2023-07-29,2022-09-09,ELEC,TEMPORARILY UNAVAILABLE (Public),179687,2021-01-27,,T,,,CCSF SFMTA PORTSMOUTH SQ 2,888-758-4389,2023-07-29T23:57:53Z,,GPS,37.794825,-122.40512,San Francisco,,,CA,733 Kearny St,94108,US,,,,,,,,,,,,['J1772'],,,1,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,,1.03456,1.66496,,"{'station': ['USCPIL63083'], 'posts': ['84419']}"
