access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,maximum_vehicle_class,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,distance,distance_km,federal_agency,ev_network_ids
public,24 hours daily,,,2023-07-30,,ELEC,Public,160630,2020-06-12,,E,,,PELL 600 HAR 1,888-758-4389,2023-07-30T00:02:58Z,,GPS,37.784104,-122.395858,San Francisco,,,CA,600 Harrison St,94107,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL122715'], 'posts': ['158853', '158855']}",0.13809,0.22223,,"{'station': ['USCPIL122715'], 'posts': ['158853', '158855']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,179211,2021-01-27,,E,,,PELL 600 HAR 2,888-758-4389,2023-07-30T00:02:39Z,,GPS,37.784126,-122.395826,San Francisco,,,CA,600 Harrison St,94107,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL121493'], 'posts': ['156321', '156323']}",0.13833,0.22262,,"{'station': ['USCPIL121493'], 'posts': ['156321', '156323']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,160850,2020-06-12,,E,,,333 BRANNAN STATION #1,888-758-4389,2023-07-30T00:00:43Z,,GPS,37.781056,-122.392353,San Francisco,,,CA,333 Brannan St,94107,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL113819'], 'posts': ['10051421', '10051431']}",0.14854,0.23905,,"{'station': ['USCPIL113819'], 'posts': ['10051421', '10051431']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,233402,2022-10-14,,E,,,303 SECOND ST. KILROY REALTY 2,888-758-4389,2023-07-30T00:00:29Z,,GPS,37.784843,-122.395214,San Francisco,,,CA,303 2nd St,94107,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL112405'], 'posts': ['22456301', '22456311']}",0.16962,0.27298,,"{'station': ['USCPIL112405'], 'posts': ['22456301', '22456311']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,233401,2022-10-14,,E,,,303 SECOND ST. KILROY REALTY 1,888-758-4389,2023-07-30T00:00:28Z,,GPS,37.784839,-122.39538,San Francisco,,,CA,303 2nd St,94107,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL112397'], 'posts': ['22457501', '22457511']}",0.17196,0.27674,,"{'station': ['USCPIL112397'], 'posts': ['22457501', '22457511']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,178876,2021-01-27,,E,,,BASEMENT LEVEL 270 STATION 1,888-758-4389,2023-07-30T00:04:45Z,,GPS,37.782725,-122.391201,San Francisco,,,CA,270 Brannan St,94107,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL142227'], 'posts': ['189553', '189555']}",0.17599,0.28323,,"{'station': ['USCPIL142227'], 'posts': ['189553', '189555']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,160399,2020-06-12,,E,,,BASEMENT LEVEL 270 STATION 2,888-758-4389,2023-07-30T00:05:04Z,,GPS,37.782762,-122.391199,San Francisco,,,CA,270 Brannan St,94107,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL145395'], 'posts': ['193881', '193883']}",0.17637,0.28384,,"{'station': ['USCPIL145395'], 'posts': ['193881', '193883']}"
public,,,,2023-06-20,,ELEC,Public,148573,2011-11-28,,E,,,ACE Parking - 625 2nd St Pkg Grg,800-663-5633,2023-06-20T00:09:34Z,,GPS,37.781499,-122.391275,San Francisco,,,CA,625 2nd Street,94107,US,,,,,,,,,,,,['J1772'],,,1,SemaCharge Network,https://semaconnect.com/,,FREE,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['970'], 'posts': ['388']}",0.1837,0.29564,,"{'station': ['970'], 'posts': ['388']}"
public,24 hours daily,,,2023-07-30,,ELEC,Public,154840,2020-03-31,,E,,,625 GARAGE STATION 1,888-758-4389,2023-07-30T00:28:13Z,,GPS,37.781887,-122.390854,San Francisco,,,CA,625 2nd St.,94107,US,,,,,,,,,,,,['J1772'],,,2,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2128421'], 'posts': ['2540421', '2540431']}",0.19822,0.319,,"{'station': ['USCPIL2128421'], 'posts': ['2540421', '2540431']}"
public,24 hours daily,,,2023-06-21,,ELEC,Public,194890,2018-06-29,,E,,,531410 : 475 Brannan Street,800-663-5633,2023-06-21T00:02:56Z,,GPS,37.77862,-122.395179,SF,Parking charges apply,,CA,475 Brannan Street,94107,US,,,,,,,,,,,,['J1772'],,,6,SemaCharge Network,https://semaconnect.com/,,$2.00/Hr Parking Fee,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['2968'], 'posts': ['8648', '8652', '8655', '8656', '8657', '8671']}",0.26893,0.4328,,"{'station': ['2968'], 'posts': ['8648', '8652', '8655', '8656', '8657', '8671']}"
